address,count,first,last,perc,cumulative,cumulative_perc,label
0xede16675c4aea9b5b92ce1a3750992880d83bb12,5558,4319895,9111166,0.04,14045015,96.4,
0x497a49648885f7aac3d761817f191ee1afaf399c,5449,4141229,8967207,0.04,14050464,96.43,
0xcb3a3acc2a80678f1a3ec72d6593ab47ccf1b8e0,5268,157694,882573,0.04,14055732,96.47,
0x4f9bebe3adc3c7f647c0023c60f91ac9dffa52d5,5212,11011180,14569481,0.04,14060944,96.51,crazypool
0x40ce7569d555dbf939e58867be78fd76142df821,5200,1712741,3862057,0.04,14066144,96.54,
0x28846f1ec065eea239152213373bb58b1c9fc93b,5169,13957714,14569754,0.04,14071313,96.58,
0x16545fb79dbee1ad3a7f868b7661c023f372d5de,5100,1474541,2770651,0.04,14076413,96.61,
0x7e6930b63d03e88f5928c5cd6ee3fcee4d714f7f,5014,11026,658340,0.03,14081427,96.65,
0x215c86bc952b0d98c4b2313a0a9ae56fa33c7f5d,4838,2340064,4973670,0.03,14086265,96.68,
0xe72f79190bc8f92067c6a62008656c6a9077f6aa,4835,11247955,12150040,0.03,14091100,96.71,
0x21479eb8cb1a27861c902f07a952b72b10fd53ef,4763,10587962,14568853,0.03,14095863,96.75,
0x8722141eeebeceb88c2891ce30925396f4be2d69,4750,140955,2395847,0.03,14100613,96.78,
0xbb83d01895c927475e779363093b28cd33e980e4,4654,11360240,11808621,0.03,14105267,96.81,
0xb8c674fa6c1cedaa25ee5679ecf5c3e452a13795,4649,6651027,11548507,0.03,14109916,96.84,
0xd7a15baeb7ea05c9660cbe03fb7999c2c2e57625,4635,7679324,10129866,0.03,14114551,96.87,
0x61bb630d3b2e8eda0fc1d50f9f958ec02e3969f6,4602,2886095,3198982,0.03,14119153,96.91,
0x3f0ee622f9e89df9db62c35cae55d57c56fd56f6,4384,11600798,13527129,0.03,14123537,96.94,
0x8950cfd22b20eea0cec121858ba91c2c23c12e16,4320,238086,1107967,0.03,14127857,96.97,
0x8d8dfbd04db0942d79bb1bb038e8876bb67ff825,4245,141378,2374084,0.03,14132102,96.99,
0x858fdec2da9fa3cd3d97b8bd1af98e9249d33613,4218,5315281,7883479,0.03,14136320,97.02,
0x441d463d69cb6eaa851eb6138c3efac95c86d17b,4090,4918248,6378982,0.03,14140410,97.05,
0xe2fe6b13287f28e193333fdfe7fedf2f6df6124a,3891,318994,2392055,0.03,14144301,97.08,
0xa9a926bed50dc038b20bb20de361e4c35aae51fc,3861,3686553,8625940,0.03,14148162,97.1,
0xe8baa417ae28c39f723ddf9fc4e4f3b28f5d9f6b,3835,3683602,3903271,0.03,14151997,97.13,
0x24f03a0786f459be40c38ba1c47714e08f9947e5,3761,630829,1292408,0.03,14155758,97.16,
0xaee98861388af1d6323b95f78adf3dda102a276c,3706,11371456,14267660,0.03,14159464,97.18,
0xee2fe52a8e7613a58b1da98a192ef37d2076b93d,3598,11808770,12096776,0.02,14163062,97.21,
0xef247e639d49461d25f57e9362cade3120910ce0,3595,36232,1139156,0.02,14166657,97.23,
0xd144e30a0571aaf0d0c050070ac435deba461fab,3448,4442662,12962802,0.02,14170105,97.26,
0xc730b028da66ebb14f20e67c68dd809fbc49890d,3445,14352484,14569963,0.02,14173550,97.28,ezilpool
0x22a0fbf89ad1362d74f626436d8c4fc6dc4f0679,3357,183006,1147918,0.02,14176907,97.3,
0xe409d18384025b84ce2f77e21db73aade4c3cf67,3320,70357,1134295,0.02,14180227,97.32,
0xdc3f366882d53c6d5eb808018acfd1cfaa7ee455,3311,1439830,4962154,0.02,14183538,97.35,
0x7f3b29ae0d5edae9bb148537d4ed2b12beddf8b3,3288,8932062,11273388,0.02,14186826,97.37,matpool
0xd1008015aa0cf2a61493bd19de6c9ca88e934fce,3273,3970929,11513202,0.02,14190099,97.39,
0x625a083bee9e6f0fd756e79880b26b955826702c,3215,3659889,4918092,0.02,14193314,97.41,
0x52f13e25754d822a3550d0b68fdefe9304d27ae8,3165,8801660,13162301,0.02,14196479,97.44,ethashpool
